EV1-L,EV1-R,EV2-L,EV2-R,OccFus-L,OccFus-R,pFus-L,pFus-R,mFus-L,mFus-R,pMTG-L,pMTG-R,aFus-R,mMTG-L,mMTG-R,aMTG-L,aMTG-R,IFG1-L,IFG2-L,IFG2-R,TPJ-L,TPJ-R,MPFC-L,MPFC-R,dPreCun-L,dPreCun-R,mPreCun-L,mPreCun-R,vPreCun-L,vPreCun-R
11377.951977472771,10347.449416366198,9181.1008021234175,7659.644164722713,9062.7958139968541,10820.765741258325,10473.083536050643,10557.52373903164,11017.092602292449,9276.9862018649674,8101.5955680469815,7912.2764581626061,6505.2081740255026,5465.2442767829325,7755.7892563687965,9261.97905690271,7030.7556580286782,8008.9636857850419,8699.2458947786799,9405.5226865604964,8871.705764551898,10899.60950594012,7075.8505427060391,8159.0718794927598,10664.907294177472,10826.253175043163,11698.085542834169,12515.998312764585,12106.635269039438,12609.794787190192
11381.250879975694,10324.838543158494,9143.8925628199122,7671.647639609062,9033.0972194144924,10786.223448499528,10513.333118651775,10592.645839666686,11057.840101933567,9285.9288657201887,8125.7447873531601,7945.9168451565756,6463.7406883706144,5458.6642161103009,7779.3075728794183,9238.3883722692226,7004.1821947304352,8015.2932045503721,8681.5963874790723,9393.7892236610987,8901.5715884534293,10937.534622198105,7038.5723291791801,8165.4660330469815,10694.694734549303,10880.713202746165,11720.365680222129,12639.206265923978,12128.784911843923,12651.915052221959
11398.838797643915,10313.197824160903,9174.8812579520509,7689.1359391519582,9032.6022919161005,10783.740195926024,10543.315192492575,10569.85830657451,11070.17563589394,9285.9438315099615,8147.2950717412596,7975.8899370028303,6489.5675453140839,5490.2923292133855,7809.6329199257616,9217.8843784106066,7015.185866587678,8050.4005130405112,8695.5728821671837,9420.2352338192886,8936.4747044060987,10982.387925018826,7038.4265397222771,8182.3189151512688,10726.870482122151,10891.075677933079,11744.431486287393,12631.574219524393,12106.986794244922,12650.061602683907
11335.924735303677,10294.018900585263,9187.7621142456428,7683.6270930560486,9041.1411171926829,10793.453286752854,10517.680706989368,10581.311461825622,11052.737077076248,9303.5167735311388,8116.792544271927,7945.578750702065,6510.4535677525055,5481.9960844837005,7784.1735066773726,9237.0241251925254,7035.917569928547,7997.4569917894451,8668.3519873896639,9365.4892913035819,8871.9625287335293,10938.104882074338,7021.9883539166212,8153.1205150734131,10679.832307573606,10858.520990909643,11686.371756719773,12526.531127182925,12042.210836545051,12579.463474332557
11354.180037010899,10337.632127381308,9189.2540522487852,7717.892686377756,9045.3045258951624,10742.763898134734,10490.340848533871,10576.704604865859,11054.410155701575,9274.8626203766617,8111.679524810721,7913.203790487205,6475.6805701490102,5449.015062808171,7758.5723536720252,9210.7511952904642,7020.286269503762,8014.9601686629467,8645.4679034786041,9363.1828610980938,8844.1455667239879,10947.402461233807,6981.2242751351378,8140.6686774344107,10693.995099862912,10865.699289585629,11706.394913575365,12556.391551005256,12072.45284320105,12592.957594436475
11345.269568071508,10329.399258131365,9179.761606733915,7644.3990018851528,8979.65419013885,10730.043968346841,10413.855653128441,10532.847520263089,11012.26285998363,9243.8063058800362,8094.2167056671078,7916.0894617060812,6468.9519519150781,5483.0630346253674,7774.839958517935,9238.5931346701273,6995.762626790025,8022.4882608935623,8712.0256813609376,9368.4282421204607,8857.2356682436493,10913.629973813635,7000.8281954666099,8172.003479445244,10654.045143679268,10827.581176935275,11722.729348263227,12580.553908287242,12165.917302225218,12646.124304516412
11321.183179588126,10378.710324889798,9163.4835343846225,7632.497800303775,8999.0794760027438,10763.299639706167,10442.131073068216,10527.555460332402,11024.120793836388,9234.8512627821892,8065.3130920532985,7914.8819876970074,6436.9689290218776,5492.5748457365235,7757.1053573089239,9237.4603771907459,7032.1353099294201,7985.5633344213547,8716.8857241323949,9321.0196100683916,8853.6063579911843,10888.041669071004,7038.9135447381732,8136.2763487281172,10638.668104876389,10762.26148698707,11731.040773411887,12543.502929828932,12150.463055764505,12643.234229979897
11471.671624981363,10459.978600691114,9284.9073787754824,7731.0745861186087,9050.5906444333541,10808.236903004718,10575.303332474687,10609.420833908938,11067.567252717779,9358.0574824437263,8146.8037229667716,7981.1890354311981,6465.3101145156852,5495.3670812629634,7829.0983640286595,9281.8527111453095,7062.1237429203893,8034.8035949234481,8692.2960545934948,9449.9827870700774,8914.0328005984684,11005.150681601852,7015.3046363204621,8152.5734207009891,10730.251277124316,10914.89871682505,11778.46122478104,12726.96824262273,12172.349495589158,12716.726629052138
11413.432547784509,10387.577384786053,9289.034720261543,7729.4271031603394,9050.665131407457,10791.395061019952,10592.178039385026,10598.47226316868,11084.261498917,9297.2472115042929,8120.1518177794114,7963.2170899362709,6471.8027624951819,5476.2431293956115,7808.6734501614419,9215.9867681005144,7056.1191850340056,8007.7368203072137,8675.333086958557,9384.9353804197854,8875.7534672446291,10957.728751487502,6973.5337819648175,8145.114288133911,10680.325068531791,10860.510231382186,11734.650694072643,12713.900841095756,12148.7820784548,12714.00404032284
11358.175212729235,10373.981973379965,9290.9561434728203,7759.052654373475,9051.2041987492266,10776.377765650839,10482.918783524339,10541.194977703661,11021.123038244252,9254.0373228462558,8084.0400490943584,7914.3087700584229,6464.9815218028089,5453.9694266775814,7790.7171536297255,9228.6159688555144,7033.6215880761583,8007.305115031676,8676.9297929560726,9379.7685401713716,8849.6589464018689,10920.836134399231,6940.1282032749332,8153.5706558601332,10642.053406279885,10832.16188377953,11693.600206313176,12621.02089508785,12095.154311937182,12663.988120207618
11419.488490253276,10425.214906410551,9285.8722168502609,7758.3794431479237,9088.929657578461,10851.79566196797,10551.13858123349,10626.480747660766,11071.508671115784,9309.8618753470364,8122.7573641160261,7971.4129499058326,6454.319742299921,5540.6760499148086,7848.8057999994116,9269.7790518362635,7058.2920278606944,8009.7914240386826,8671.7901691154129,9410.9529499024757,8930.7624504005289,10992.027679215165,6951.8357070017855,8164.7731989399217,10672.539316076771,10857.211804258421,11806.496721335599,12768.531188294313,12182.717364552896,12750.835342548076
11444.304207790814,10375.609205036746,9243.88237763082,7705.7350460159296,9038.4793974385957,10792.31538102018,10600.28881212819,10598.430768428067,11061.322665895976,9310.2723348324962,8116.2565534652085,7987.206487421653,6471.2710455854412,5505.6685630370675,7826.7505917349235,9266.4681803076492,7061.9629394913018,8003.4544866950346,8669.7195837805175,9414.9832254229641,8923.8726341363945,10994.223833528487,6938.0267793251214,8154.3288212221978,10686.166857564795,10889.052297284987,11788.617381050877,12769.751045286339,12188.187118189102,12715.501455385014
11361.799734880326,10358.43111478448,9264.800688534011,7763.688672539648,9027.8635244328507,10790.082523324609,10512.674461305103,10556.862243888412,11021.53022995426,9243.5964265728744,8104.7495926232987,7962.9957947875691,6456.7958205132745,5530.5933784135977,7809.7043006410549,9277.8358940712515,7051.6777155186701,8007.8444108922185,8695.0879391524013,9388.7281294532677,8916.2428125276056,10997.40581379682,6940.616748608174,8147.1633010105179,10709.135552528844,10885.959581711115,11798.096395171471,12743.056777330667,12143.760488209167,12689.120930377829
11370.411357688272,10398.611245172002,9284.0550197794055,7784.9102839428942,9069.4688346991024,10790.199937998887,10529.847489605054,10559.162951472217,11049.878342931108,9334.0066657589468,8130.0675404972735,7977.5500735699352,6507.3738709743029,5482.8185027352456,7828.3020509475609,9269.1407361638485,7039.5682445109787,8003.072503403022,8630.8142629210215,9373.8890726164936,8884.756786254824,10970.24086734668,6948.2705830531813,8167.431323576151,10702.087733344957,10903.877291977193,11738.120951853067,12689.759285364524,12141.816024977135,12703.198998608446
11373.346803572869,10291.225022734876,9145.3246207291559,7636.8103249004407,9013.4268544773477,10751.59086557095,10499.789670752962,10539.320487416575,11028.742311122285,9270.9301041751878,8063.6686930804572,7956.3129144763025,6459.1039282240599,5461.2272637673759,7804.9626464118737,9222.6358861764274,7038.3316164551416,7952.2920181748304,8636.5563638053263,9378.4529575797933,8860.8210981880184,10936.162864142372,6956.6624788255203,8142.4386249129493,10618.744355824023,10802.664404796229,11725.690417094798,12605.391001149088,12161.831054184086,12693.273291026348
11445.988244871827,10391.745830907488,9284.7597984659096,7743.5183282182052,9049.0746598550395,10766.054967504862,10518.401886046435,10536.513823439298,11047.181696891263,9305.5227749692112,8143.3737481426815,7931.9121990069561,6480.1865518324175,5447.8097968045595,7826.0121755802875,9231.3049226043477,7036.408614280198,7987.4445813228867,8642.7674007349888,9384.3417211714805,8846.0553667922486,10944.918180792194,6931.89648825942,8150.1675746994651,10720.980849846572,10928.481529661147,11702.670430538572,12667.181257402166,12148.347927021419,12677.937696560872
11416.097856861559,10419.942267958853,9292.4933245093398,7764.3499353274055,9071.7013978956402,10821.958527587856,10554.156867124411,10628.516382682717,11043.03139173686,9303.4623751533672,8109.6900043349688,7948.5646060887102,6478.7875484620772,5509.5788549272183,7796.0181929326427,9266.2516900723349,7059.3718858739612,7992.8727559137387,8671.5867237606963,9411.0496743313597,8868.9029521144184,10963.234727690082,6959.2526716866987,8152.2496099531645,10637.950186777849,10832.858979934788,11749.53748136548,12694.31546209336,12143.043723019939,12698.151076026679
11388.941426520651,10330.512639753095,9212.7062309722569,7683.1106058461892,9033.1334713431443,10754.222231493024,10554.376056357301,10557.097747723539,11060.5724063824,9313.4626309406049,8124.4266303143804,7971.3006102956797,6487.864124116425,5478.2595225511786,7830.8826442620411,9273.851646855479,7068.4082696860996,8027.4597752937789,8643.7132114059532,9424.2501723612895,8875.4841170335985,10943.167263577176,6961.633509908168,8175.1413143773816,10684.769998129226,10896.619997474336,11704.471874446488,12650.560744569659,12089.80627124527,12642.383969076302
11377.689945484097,10348.77339854099,9179.861880803126,7759.5528365771461,9025.2410256591138,10767.500502781828,10435.714919685402,10531.277443317515,10992.128405073732,9216.5191425939065,8108.0087385287297,7926.9085671656703,6452.0217593780171,5467.432601897196,7772.8045039539811,9242.8878448860396,7019.4874515454412,8035.2230637204557,8666.7032926613956,9406.5983248404227,8866.1056510282924,10922.191855233412,6944.815664870106,8119.9639425864361,10651.906166359588,10863.238908780198,11684.881151157213,12529.303809281024,12087.394505101422,12599.959982646958
11416.718779787732,10424.933495780173,9254.2535077552748,7758.9547769265801,9063.3742894766401,10813.944024913739,10549.828745938141,10624.961670608744,11072.324691052418,9313.4131981562714,8177.1646980709638,7977.0342398970597,6469.7686545141405,5485.9128040100841,7837.2961657402402,9213.3117260796316,7046.1622964345406,8054.8573904278137,8668.6217488967632,9446.0778223022553,8915.2320046823388,10962.771874711321,6913.057894451239,8151.1849489477809,10717.27482587054,10925.564173559496,11740.347453673132,12660.425836053304,12134.486318011019,12668.840225963804
11338.075064753639,10315.295548761826,9143.1852665570914,7662.2364173632113,8972.0770488196995,10702.299985770145,10519.530695118117,10524.90946711267,11041.683947587802,9275.7889606762983,8117.3626060347424,7959.5323731459339,6461.4971668330045,5469.738070236278,7826.8862523987409,9211.9400994130356,7049.9659018287148,7990.351977862304,8647.1500043754695,9414.776579505291,8860.6068534087917,10979.212416661154,6936.683100814621,8146.0774735787509,10716.921094202035,10879.428926674513,11692.379538015915,12578.434074686022,12060.23326551774,12595.571074171725
11326.674177784433,10313.270540128724,9180.7232024352797,7699.2758152982024,8994.6080666877751,10700.828864140492,10449.468889593614,10521.841623885077,11027.699801697523,9310.9574330045725,8081.4183865854202,7929.7828439697969,6479.4052378315673,5480.9447550046307,7794.6777185454612,9239.7336437230479,7055.4125099480561,7998.9981556508719,8624.0005203302717,9386.2606152345234,8850.6384491441931,10930.62899098114,6886.5238343512583,8122.7550932928953,10615.644834523124,10781.824823989065,11615.239771985218,12434.93541347973,12016.913900947937,12546.76818296996
11364.242278450009,10358.614067659217,9186.2079122528521,7647.8562377090839,9022.7921560820705,10772.096661684507,10509.712932923727,10575.718160733641,11039.308974432815,9263.0807523916592,8065.2567835906839,7949.2908790941574,6460.4299278965918,5496.3727586909072,7805.1201759674859,9249.1873062368286,7041.1922793230206,7990.436636247483,8655.1594378036716,9393.3720084367596,8882.6535113350055,10951.034708548403,6922.4484392315971,8126.5322920054432,10595.315787225345,10795.783479432879,11732.839784592012,12624.66743169947,12093.702469228148,12660.331818945848
11361.608293539923,10293.095673031092,9144.2268402905174,7550.7083049056882,8986.3430449257521,10682.899006963737,10527.755745167166,10550.015323970434,11044.154843954791,9293.7295210628345,8050.7271024209149,7982.0176157476371,6465.7328408674903,5486.2610047417738,7828.1387723572398,9251.9399728214812,7034.7311642832574,7980.5376320936157,8642.9928374203992,9362.3781995753016,8925.9576382494597,10989.182335073681,6936.8372287734519,8163.5550403249135,10654.884383229644,10795.928625335731,11781.512383224839,12719.878113226496,12187.452026648018,12724.658769084908
11401.810244142225,10353.245765876625,9240.9973572321251,7668.7453958463257,9012.2180439858239,10792.646437968928,10505.339844784841,10552.488936085194,11035.553456484626,9268.224430831564,8086.4150483662852,7975.0199750355132,6436.0775749389368,5513.4534564803089,7827.3261288689146,9262.0360799345544,7045.2167981371276,7992.3806515465585,8716.0359309949399,9350.8656657122337,8930.0237791315521,10967.589007856373,6948.2552508874332,8162.2882351176113,10651.931108817773,10827.999559952008,11807.906782442346,12764.095483721159,12206.624999344653,12740.44576180818
11439.286889315683,10438.199127329288,9312.7216239829359,7704.851619449807,9091.6510514585043,10820.44539145357,10534.157991370272,10613.123804971194,11095.679710432956,9342.6322978874578,8134.6022842072798,7975.3396510919938,6510.026321027296,5488.2994694558256,7803.1904432555784,9271.326267514798,7062.325103656116,8037.3333892760402,8691.9204068571489,9408.5178045683551,8885.2034444589335,10940.847309498899,6960.4829870195326,8163.3727678616069,10690.861212562186,10881.169881780761,11722.401022155094,12661.754854565206,12090.676054878926,12634.08760176728
11436.008929457508,10359.514562465389,9206.6917606088591,7689.0324105613008,9050.2067768177658,10772.796966822219,10534.976367273675,10573.988033636359,11041.441273446593,9292.8501752141456,8133.8539043559858,7933.4658498162171,6465.9199533028614,5481.6053657529874,7786.3191044805662,9253.0750593221128,7026.7445218763633,8016.9765382185578,8680.8810510591375,9351.3902627464504,8884.5417365643771,10994.791159359409,6957.0087748433325,8141.5409585035377,10733.89448645318,10911.218991368705,11779.850660188033,12616.15931766297,12131.895103993937,12645.114649052
11378.749347404246,10345.749676312447,9170.7174515490678,7675.5141812437487,9012.6495609682388,10816.845569728994,10459.609036671896,10603.701842651857,11034.796105448291,9238.1214318311886,8102.1542775099679,7932.7254119627869,6484.540430700702,5469.9637271779875,7739.9678976729265,9207.0629687148357,7010.6443509028977,7999.4408361800097,8719.6259923762082,9351.7454387013313,8878.3806219408434,10932.011534824278,6986.3073973475248,8160.4189151356013,10711.873476004304,10882.669986387513,11718.250999775611,12594.727938450662,12080.452891728861,12626.690793511241
11434.293857317083,10406.736521857019,9239.1229107614436,7734.4085513416685,9071.1217631026884,10826.778419896511,10559.332460780352,10593.66637275547,11069.724046869243,9316.7493988722945,8140.3973348477475,7953.5695013442228,6460.2237527861362,5474.1040770675409,7770.5495962366322,9208.249370720574,7002.1256316800955,8020.1880243039459,8681.3701264312003,9398.7441242270288,8890.5226230548233,10962.7071905676,6990.2574898663715,8155.0714648156782,10731.709673933741,10905.977892163488,11735.517513819705,12666.490447586233,12133.546364145694,12671.579208301089
11336.414041550001,10321.004995599013,9178.2141558815601,7671.3165863254808,9035.0603455593991,10780.501857097386,10531.389964724751,10578.420155040623,11054.124837357769,9311.4868118591821,8111.1110463441428,7916.2709553710092,6496.3380502578038,5431.8740549007471,7763.4681086234359,9245.3838364627463,7024.9287616866995,8004.8499976652047,8631.6771111109338,9349.458449928874,8845.4093313755675,10931.979077090418,6967.9580796185555,8144.540169162392,10679.715980699322,10858.643412994285,11682.699804300679,12548.176240150402,12144.754427616263,12633.127581076042
11366.763503165439,10359.773179023468,9196.2070157588551,7695.7566777723659,9050.8033396382161,10804.064566972302,10459.908321494411,10565.721481380549,11013.728754549968,9253.9536564487225,8096.8991198966114,7926.0205848662436,6482.507379921617,5487.2999438599609,7773.391890977311,9245.043602865544,7010.3284611350218,7995.3909189953401,8681.6405078235366,9325.8987425470277,8848.362178885387,10912.758323704713,7001.2819907081675,8137.7502311184262,10697.252249724532,10889.993926714864,11769.980923477688,12630.432081269826,12192.089240630552,12690.313134393349
11408.805923405136,10420.085139784533,9281.88244569376,7735.2137359226599,9069.0865605894578,10849.370827555251,10561.847755536155,10608.627817493019,11097.555292470599,9338.662596450713,8117.8995272753873,7961.6783798576535,6483.7883264742131,5484.8147550097619,7808.5499892572598,9254.5178856981511,7034.1421188604281,8007.8839760920428,8685.4519933919219,9359.7991172676866,8885.431257332677,10951.893703753438,6967.9469327137931,8160.9130382168396,10696.328438582217,10898.039355185645,11759.79833086566,12707.339584082452,12155.438688223157,12723.581316820533
11362.824245377722,10296.318080265915,9132.055453931971,7618.1667686637611,9020.9210165436216,10778.863491475642,10559.973618741915,10582.953697444098,11050.909832606683,9263.1685449095366,8065.9517850464681,7964.9725294213413,6469.3818555478256,5507.6079664791805,7810.5239117256042,9236.2202202060744,7024.2433182603281,8026.1086069505773,8698.9244807560262,9354.0140418795836,8932.6587517481621,10960.16490565801,6961.3745785826304,8151.7884214166925,10630.941889782294,10791.032872634463,11774.499572412469,12701.917044781587,12181.742235375434,12719.69733602618
11349.836166056479,10349.510953701913,9212.310079431134,7706.2493969226289,9015.8903539321036,10726.578994923948,10537.848365928116,10493.169875615382,11052.742765732484,9311.8284757596648,8117.7268959610701,7989.3602993978475,6493.067008743531,5518.569910857942,7847.8445245086905,9291.6744371022232,7065.4688531558422,8039.8951075535242,8697.2989027897693,9421.6849757829295,8966.23252499316,10973.955840811401,6967.1183440563491,8166.2785309775809,10688.608826366355,10870.215665805064,11813.114380950918,12721.66799713527,12189.942529018052,12729.937556268951
11441.830001445347,10413.20116130417,9260.3337496481963,7786.6689511194636,9097.7239144112809,10852.09266085709,10565.777868577579,10661.533544580476,11061.412880277452,9305.5098446132433,8130.0686012235292,7970.7218812808305,6459.8377439878795,5526.2728941068717,7800.1356932868457,9246.8877976137319,7030.4920433504712,8037.0822184247472,8661.2973945058984,9387.7318116041879,8946.080352399129,10959.963272055251,7008.6139600281203,8130.6849906768093,10723.617647734323,10897.547006981862,11730.007746597114,12689.537978856466,12117.868299928408,12698.008919035277
11401.835959976421,10359.910760260453,9275.690490867597,7769.2076803707223,9050.7699046637135,10781.509676044387,10567.517301644366,10578.717102218341,11071.29653467501,9360.2753528398171,8155.7566256699956,7966.1314915339517,6504.4688226348053,5479.0720677551353,7832.6458077057241,9298.9515578833616,7054.6140035208973,8054.6556591917952,8649.5033453050473,9408.7440800594195,8907.6136350884026,10993.952731959405,6967.5994029047706,8142.2697661299371,10714.167891720914,10886.205897982147,11724.691603591709,12612.012186892784,12092.38252403456,12619.214789560545
11299.72048643223,10276.575649506362,9189.9974029229033,7691.2288868612759,9028.7764804550206,10768.641018375652,10451.224771460251,10501.958896337725,10966.397748856241,9222.0782481444694,8079.4250072017903,7947.5759711838118,6466.1025427159284,5502.1087697274525,7848.2794690286837,9253.3649087893336,7078.5472392521897,8001.5646047905811,8664.6645393772578,9384.3173152000018,8912.286693610673,10957.409830695806,6961.0749203017667,8152.4880054148989,10614.126022943488,10763.835636678528,11714.987733886624,12561.542002675564,12090.005809976288,12615.315259641477
11351.224293079104,10282.148826277693,9128.5669872457584,7620.2596112499759,8979.2342509403297,10727.131127695506,10410.752786235127,10536.179464065137,10986.954098874647,9246.2209739474256,8130.9473520278343,7949.0840349282307,6439.3245927762619,5504.6813679029801,7834.856719151283,9286.7752040879241,7077.4870086037208,8052.8247983761621,8688.3606472966585,9395.7778197357165,8911.0574423166727,10990.607952953531,6966.0347060105696,8140.3943329595177,10724.724867987195,10905.272221317782,11767.970197159602,12645.673302463103,12164.942004889625,12689.71200143914
11275.422112902379,10232.507580847496,9115.3917607080093,7590.2145659406542,8933.2923677733161,10697.242161180024,10364.828227935157,10499.839368566556,11005.243341531188,9232.6842131389894,8129.5013781653106,7906.0354640247951,6459.3331867966235,5436.6817450949584,7760.2290700119065,9198.5040819925543,6998.3373315993567,8006.4546841991041,8662.0393865645365,9352.0808551792634,8814.2901599895267,10883.841160289205,6945.8505705304069,8123.8619132539079,10691.580371787592,10855.097347533776,11666.023973445668,12487.556120829897,12037.693767902372,12563.154738040696
11276.760838832415,10288.058596385841,9153.1605783209652,7662.6450673766731,8948.5786428356005,10731.436447345071,10412.641062707315,10478.184402379378,10997.748209591791,9248.1162009695508,8099.6831114032466,7910.8050434187844,6472.6054428532898,5449.0533174957263,7723.2537381231305,9224.0876031442567,6983.0702628020035,7995.561797336064,8669.2587143483779,9386.8230227128297,8827.0952463682679,10882.493873371899,6995.3332175228225,8147.9722754845479,10661.747128931907,10829.586765396587,11663.459573778977,12544.246272319007,12064.49937255751,12579.60890278628
11419.908968959122,10387.227369321838,9259.7794699491587,7698.279400486299,9047.5733475662437,10805.866764697781,10565.26963275966,10612.749504624368,11086.530000217317,9306.654106589378,8131.571862870016,7940.5667930373256,6464.5418449383906,5445.9402013793824,7801.8906335659185,9180.6552717343075,7019.1718525655715,7979.8938973050772,8634.9778031452624,9413.2870583245349,8828.7653671425378,10915.513137575133,6975.5466167930163,8140.4749447796585,10705.927994365125,10895.032838771589,11740.691518495825,12632.468512144182,12075.076816000321,12636.385571471565
11363.98257608852,10297.969612812438,9152.9510107644655,7639.2259511701714,9024.3346303153958,10750.160247151716,10540.879883569854,10566.681656702172,11030.039459758122,9243.5639567150229,8095.1481938749066,7953.6039002852858,6452.9398375531455,5482.6523035708879,7813.3127635613546,9236.0250179876584,7040.1298030500757,7974.9611846528287,8660.2359670189471,9412.2895152450965,8869.2020880601303,10989.046902313858,6952.8521001786712,8167.1591071369476,10623.595798854067,10830.398581267935,11719.951103198455,12635.540028856365,12130.869602964469,12671.444994540556
11329.107869147581,10311.588634393443,9164.4652784670234,7680.6688393144668,8983.5511655235732,10755.809808129814,10447.883114783612,10503.430156449527,11032.304366395045,9285.1368502967271,8083.092009301502,7964.1435478447884,6470.6084454257734,5494.8209313742973,7821.7171544390731,9243.5315418023365,7050.4592845443358,8028.2123391830019,8692.9415796141602,9390.9082212514386,8917.0666213755212,10951.268495170407,6976.4172135042636,8181.3026503187366,10624.592324978044,10770.669382273911,11708.946597276647,12535.160578220019,12137.040042215789,12653.134370141934
11426.151765497771,10430.238767415398,9255.3885923720973,7737.2290894679736,9060.9985071403134,10818.722498423573,10541.368573018313,10610.55327731217,11063.465820165582,9288.4633065447961,8142.2052007532329,7977.3344731578263,6453.527232520215,5520.8335684782051,7824.9532546574701,9267.6169340476517,7064.9459031428996,8033.6104428270828,8739.2193668226246,9436.6188267069792,8939.9597397000016,10987.159396944773,6994.8657068540879,8173.7643675097133,10685.94808244215,10886.928293434319,11802.742952602972,12696.210603200469,12199.464814690873,12719.887919910461
11399.900241570054,10354.886070479955,9213.8514303597076,7772.7211386812041,9050.3333036211388,10751.480261678602,10582.38478491133,10608.232431080398,11081.877502241336,9322.3124567007362,8138.6319351168113,7968.6669656007234,6518.1497144266941,5485.0760610042144,7826.4142210558321,9244.5201400771366,7053.8422838603483,8008.4320993787442,8674.4955664366953,9403.0450091778202,8882.2207505169717,10966.668935094582,6984.5595058150211,8167.0404992859876,10720.703946805717,10880.467301036957,11776.354757423713,12683.253414968578,12159.415967910674,12684.836827902323
11364.417111146637,10342.616337803034,9267.7246468566427,7778.8556091047067,9086.2883611001671,10800.966818682002,10490.302162503182,10578.795150860673,11024.229372011223,9217.5670304402192,8080.2270456817423,7947.8144434054529,6451.3159880061985,5519.5796603743911,7787.0981215263228,9243.3441143759701,7028.99625703124,8007.058881392838,8695.121812330297,9345.7767361241931,8873.2961758945003,10930.342133179402,6987.4374258330554,8144.5149806502977,10722.429599138461,10867.710490821937,11737.865025463492,12638.905097878765,12133.112077097823,12698.422362581803
11416.708203700924,10410.518584151201,9286.8616161909031,7739.8100270169207,9104.330342413934,10802.457412352256,10552.247061827415,10605.298030307586,11072.047131189003,9338.2813496939452,8136.7875041403695,7988.5781484630434,6487.1360199043429,5505.2755191701517,7842.43314859969,9311.4537203982472,7042.9175250050594,8075.3230617527388,8716.0925507795018,9406.4664233599469,8917.4014985551566,10932.839312846761,6998.1070470372852,8156.4535305269701,10709.428690057272,10890.370838727536,11752.555179806333,12701.776546412337,12155.964055317681,12687.305228230869
11443.015686183779,10378.064227257128,9210.9890761076713,7728.1620757389574,9052.8427574903235,10788.077219885876,10560.604500671823,10597.792926792003,11046.386477166527,9290.0625657306427,8109.8706754176828,7943.5861076901883,6473.0254129601662,5509.6520835271776,7790.3989175605911,9278.6045297542987,7045.1108803818061,8018.6841183090391,8687.178108055823,9375.0948795005243,8935.6481003680747,10933.008547273303,6999.0241460999532,8123.4539125641522,10693.622242371368,10879.206929918073,11782.090213478486,12686.942047221497,12180.338223016286,12708.253321987662
11506.779765629233,10465.235555105794,9319.6839969094945,7790.5127361297282,9131.4841824576069,10855.948797671268,10561.507596454741,10615.828719885374,11086.612782332591,9311.3294154081868,8151.1580504739468,7949.921675749556,6468.6625682630074,5472.2225613079345,7798.1176408297724,9220.221436250511,7054.4100610617506,8013.0856145346443,8668.9171188749406,9382.5959093246911,8886.1616917711781,10967.39147683688,6935.2655437845242,8125.7766249085444,10755.205824588569,10897.560152475415,11731.961882106227,12685.8270453274,12158.925799955132,12692.017745903562
11413.094505533834,10427.799996495292,9252.0563309472691,7768.4717697274991,9118.5859648172936,10879.384633284655,10550.061891222425,10624.173517791825,11045.390241525092,9277.7368025933611,8123.4594354186338,7958.9776503904986,6468.8891184976055,5484.5810564997191,7781.5015650689529,9256.5968147270214,7036.8335646039804,7988.694232348179,8653.136201391515,9407.4603515783365,8864.8876055546989,10956.939676054173,6961.6104065219843,8156.891959541008,10667.699035894067,10852.540922924214,11729.213331228209,12689.540169807064,12132.392530866928,12675.517868801344
11375.292983876927,10318.574779334931,9161.2006565396041,7638.1866458406712,9032.7875285996452,10738.860277977736,10525.397391592363,10553.742122709908,11063.142661482842,9307.0732023588625,8105.7051571154734,7986.9846641215199,6478.7720811864428,5485.6529469888892,7861.5401201227414,9255.6644329340252,7045.0360070413108,8016.9018902303915,8673.8676810200468,9385.0586015429963,8916.9642133696871,10958.901170072806,6926.1461351720773,8147.4955724872871,10637.144460239133,10818.608256215439,11756.806903146804,12678.970798086839,12150.599631581797,12656.593277279326
